Rank,Name,Birth_Count,Kana
239,麻子,351,マシ
240,結花,349,ケツカ
241,佳奈子,348,カナコ
242,優花,348,ユウカ
243,智恵,344,トモエ
244,あすか,342,アスカ
245,夏希,341,カキ
246,由季,339,ユキ
247,奈緒美,335,ナショビ
248,友希,335,ユウキ
249,侑子,334,ユウシ
250,紀子,333,キコ
251,有里,333,ユウリ
252,結香,331,ケツコウ
253,真里奈,330,シンリナ
254,恵理子,329,ケイリシ
255,知子,327,チシ
256,有沙,325,ユウサ
257,絵梨,324,エミ
258,翠,322,スイ
259,のぞみ,321,ノゾミ
260,里菜,321,リサイ
261,佳子,320,カコ
262,真奈,319,シンナ
263,結,315,ケツ
264,千穂,315,センスイ
265,望美,314,ボウビ
266,有美,314,ユウビ
267,千紘,313,センコウ
268,明美,313,メイビ
269,友理,311,ユウリ
270,亜希,309,アキ
271,聡子,308,ソウシ
272,麻里奈,306,マリナ
273,優里,305,ユウリ
274,沙耶,304,サヤ
275,洋子,304,ヨウコ
276,遥香,301,ヨウコウ
277,沙季,298,サキ
278,絵里奈,297,エミナ
279,友梨,297,ユウリ
280,碧,296,ハイ
281,愛理,294,アイリ
282,結衣,293,ケツイ
283,緑,293,リョク
284,えりか,290,エリカ
285,絢香,289,アヤカ
286,理奈,289,リナ
287,美波,288,ビハ
288,夕貴,288,セキキ
289,里佳,288,リカ
290,綾華,287,リンカ
291,絵里香,287,エミカ
292,沙也香,287,サヤコウ
293,夏海,286,カカイ
294,真帆,286,シンハン
295,真未,285,シンミ
296,晴菜,285,セイサイ
297,千晴,285,センセイ
298,香菜子,284,コウサイシ
299,いづみ,283,イズミ
300,英里,283,エイリ
301,千裕,282,チヒロ
302,美菜,282,ビサイ
303,裕香,282,ユウカ
304,瑠美,282,ルミ
305,未希,281,ミキ
306,梨奈,281,リナ
307,亜希子,280,アキシ
308,由希子,280,ユキシ
309,史織,279,ノリエ
310,千秋,279,センシュウ
311,南,279,ナン
312,美紗,277,ビサ
313,雅子,276,ガシ
314,慶子,276,ケイシ
315,麻希,276,マキ
316,有加,276,ユウカ
317,さつき,275,サツキ
318,愛弓,275,アイキュウ
319,可奈子,274,カナシ
320,早苗,274,ソウビョウ
321,香菜,273,コウサイ
322,華子,272,カシ
323,亜耶,270,アヤ
324,彩美,269,サイビ
325,菜美,268,サイビ
326,真子,268,シンシ
327,麻耶,268,マヤ
328,優衣,267,ユウイ
329,由希,265,ユキ
330,さくら,264,サクラ
331,莉奈,264,リナ
332,咲子,263,ショウシ
333,由美子,263,ユビシ
334,亜弥,262,アミ
335,尚美,261,ショウビ
336,亜里沙,259,アリサ
337,希美,257,キビ
338,希望,257,キボウ
339,千絵,257,チフエ
340,真梨子,255,シンリシ
341,静,255,セイ
342,由梨,255,ユリ
343,泉,254,セン
344,麻奈美,254,マナビ
345,梨恵,253,リケイ
346,佳代,252,カオイ
347,真澄,252,シンチョウ
348,景子,251,ケイコ
349,夏実,248,カジツ
350,若菜,245,ジャクサイ
351,愛香,243,アイコウ
352,紗織,243,サショク
353,綾美,242,リンビ
354,菜々子,241,ナツコ
355,いずみ,240,イズミ
356,さとみ,238,サトミ
357,有紗,237,ユウサ
358,鮎美,235,デンビ
359,菜津美,235,サイシンビ
360,あかり,234,アカリ
361,奈穂,234,ナスイ
362,由加里,234,ユカリ
363,裕美子,234,ユウミ
364,芽衣,233,ガイ
365,佑香,233,ユウコウ
366,麻里子,231,マリシ
367,祐未,230,ユウミ
368,まなみ,228,マナミ
369,愛梨,228,アイリ
370,未央,227,マオ
371,紗季,220,サキ
372,恵梨,218,ケイリ
373,佑美,217,ユウビ
374,このみ,216,コノミ
375,まみ,216,マミ
376,知香,216,チコウ
377,悠里,216,ユウリ
378,恵里奈,215,ケイリナ
379,法子,215,ホウシ
380,京子,214,キョウシ
381,瑞希,213,ズイキ
382,友子,213,ユウシ
383,祐香,213,ユウコウ
384,あや,212,アヤ
385,真由子,211,シンユシ
386,梨絵,210,リエ
387,あい,209,アイ
388,朝美,209,チョウビ
389,ちなみ,207,チナミ
390,育美,207,イクビ
391,沙樹,206,サジュ
392,睦美,206,ボクビ
393,明日美,206,メイニチビ
394,円,205,エン
395,実穂,205,ジツスイ
396,由依,205,ユイ
397,亜弓,204,アキュウ
398,彩菜,204,サイサイ
399,明香,204,メイコウ
400,靖子,202,セイシ
401,ひろみ,201,ヒロミ
402,円香,201,エンコウ
403,夏子,201,カシ
404,淳子,201,ジュンシ
405,順子,201,ジュンコ
406,美智子,200,ミチコ
407,みのり,198,ミノリ
408,綾菜,198,リンサイ
409,真依,198,シンイ
410,あやか,197,アヤカ
411,ありさ,197,アリサ
412,奈緒子,197,ナショシ
413,美鈴,197,ビレイ
414,彩音,196,サイオン
415,佳苗,193,カナエ
416,絵梨香,193,エミカ
417,沙耶香,193,サヤコウ
418,真琴,193,シンキン
419,奈々子,192,ナナコ
420,萌美,192,ホウビ
421,友恵,192,ユウケイ
422,なつき,191,ナツキ
423,恵利,191,ケイリ
424,智香,191,トモカ
425,実希,190,ジツキ
426,奈月,190,ナゲツ
427,美加,190,ビカ
428,優佳,189,ユウカ
429,えり,188,エリ
430,はるな,188,ハルナ
431,浩美,188,コウビ
432,かすみ,187,カスミ
433,杏子,187,キョウシ
434,雅美,187,ガビ
435,知恵,187,チケイ
436,美沙子,187,ビサシ
437,友紀子,187,トモジコ
438,麗,187,レイ
439,佳那,186,カナ
440,好美,186,コウビ
441,朱里,186,シュリ
442,倫子,186,ロンコ
443,紘子,185,コウシ
444,綾佳,184,アヤカ
445,枝里,184,シリ
446,友加里,184,ユウカリ
447,あゆ美,183,アユミ
448,真里,183,シンリ
449,綾奈,182,リンナ
450,菜々,182,ナツコ
451,里香,182,リコウ
452,玲子,182,レイコ
453,恵美子,181,ケイビシ
454,莉沙,179,リサ
455,睦,178,ボク
456,菜穂,177,サイスイ
457,桜子,176,オウシ
458,蘭,176,ラン
459,ゆい,175,ユイ
460,樹里,175,ジュリ
461,春佳,175,ハルカ
462,聖子,175,セイシ
463,美紗子,175,ビサシ
464,麻由美,175,マユビ
465,亜矢,174,アシ
466,絵里子,174,エミコ
467,真理奈,174,シンリナ
468,友香里,174,ユウコウリ
469,ユキ,173,ユキ
470,友貴,173,ユウキ
471,汐里,172,セキリ
472,美香子,171,ビコウシ
473,悠子,171,ユウコ
474,梨乃,171,リナイ
475,亜実,170,アジツ
476,綾花,170,リンカ
477,麻紀,170,マキ
478,衣里,169,イリ
479,華奈,168,カナ
480,美菜子,168,ビサイシ
481,美和子,168,ビワシ
482,文,168,ブン
483,麻友,168,マユウ
484,諒子,168,リョウシ
485,真菜,167,シンサイ
486,美月,167,ビゲツ
487,佳菜子,166,カナコ
488,香苗,166,コウビョウ
489,保奈美,166,ホナビ
490,満里奈,166,マンリナ
491,良子,166,リョウシ
492,ゆか,165,ユカ
493,成子,165,セイシ
494,玲,165,レイ
495,里恵,164,リケイ
496,茉莉,164,モリ
497,亜季,163,アキ
498,秀美,163,シュウビ
499,未奈,163,ミナ
500,優紀,162,ユウキ
501,杏菜,161,キョウサイ
502,佳菜,161,カナ
503,恵里香,161,ケイリコウ
504,有紀子,161,ユキコ
505,ゆり,160,ユリ
506,文子,160,ブンシ
507,可奈,159,カナ
508,弘美,159,コウビ
509,百合香,159,ヒャクゴウコウ
510,葉子,159,ヨウシ
511,恵実,157,ケイジツ
512,春花,157,シュンカ
513,萌子,157,ホウシ
514,由布子,157,ユフシ
515,ともみ,156,トモミ
516,晃子,156,コウシ
517,くるみ,155,クルミ
518,佳美,155,カミ
519,由華,155,ユカ
520,祐佳,155,ユウカ
521,礼奈,154,レイナ
522,菜緒,153,サイショ
523,亜里紗,151,アリサ
524,悦子,151,エツシ
525,幸奈,151,コウナ
526,清美,150,セイビ
527,由真,149,ユシン
528,涼,149,リョウ
529,亜依,148,アイ
530,真穂,148,シンスイ
531,美紅,148,ビコウ
532,友佳,148,トモカ
533,里実,148,リジツ
534,和,148,ワ
535,安奈,147,アンナ
536,明里,147,メイリ
537,理美,147,リビ
538,礼子,147,レイコ
539,茉美,147,モミ
540,りえ,146,リエ
541,恵理香,146,ケイリコウ
542,怜奈,146,レイナ
543,浩子,145,コウシ
544,香奈子,145,コウナシ
545,理恵子,145,リケイシ
546,敬子,144,ケイシ
547,真菜美,144,シンサイビ
548,未佳,144,マナカ
549,利奈,144,リナ
550,朋恵,143,ホウケイ
551,妙子,143,ミョウシ
552,英恵,142,エイケイ
553,淳美,142,ジュンビ
554,清香,142,セイコウ
555,桂子,141,ケイシ
556,恵梨香,140,ケイリコウ
557,真代,140,シンダイ
558,智絵,140,トモエ
559,まい,139,マイ
560,愛佳,139,アイカ
561,佳世,139,カセイ
562,奈菜,139,ナサイ
563,飛鳥,139,ヒチョウ
564,由実,139,ユジツ
565,郁,138,イク
566,江里,138,コウリ
567,晴美,138,セイビ
568,すみれ,137,スミレ
569,沙緒里,137,サショリ
570,博子,137,ヒロコ
571,和子,137,ワシ
572,遙香,137,ヨウコウ
573,あさみ,136,アサミ
574,りさ,136,リサ
575,絢,136,アヤ
576,杏里,136,キョウリ
577,一美,136,イチビ
578,佳代子,136,カオイコ
579,菜穂子,136,サイスイシ
580,実里,136,ジツリ
581,千紗,136,センサ
582,博美,136,ヒロミ
583,穂奈美,136,スイナビ
584,麻友美,136,マユウビ
585,祐希,136,ユウキ
586,瑞季,135,ミセキ
587,美雪,135,ビセツ
588,楓,135,フウ
589,藍子,135,ランシ
590,亜紀子,134,アキコ
591,咲希,134,ショウキ
592,志乃,134,シナイ
593,由夏,134,ユカ
594,まりな,133,マリナ
595,啓子,133,ケイシ
596,彩織,133,サイショク
597,奈央子,133,ナオコ
598,亜梨沙,131,アリサ
599,文乃,131,ブンナイ
600,みずき,130,ミズキ
601,瑛子,130,ヒロコ
602,真弥,130,シンミ
603,奈都美,130,ナトビ
604,絵理香,129,エミカ
605,実香,129,ジツコウ
606,真季,129,マシ
607,美季,129,ミセキ
608,みき,128,ミキ
609,紗也加,128,サヤカ
610,理子,128,リシ
611,郁恵,127,イクエ
612,晴奈,127,セイナ
613,智代,127,トモエ
614,亜理沙,126,アリサ
615,佳恵,126,カエ
616,智恵美,126,トモミ
617,沙央里,125,サオリ
618,沙也佳,125,サヤカ
619,百合子,125,ヒャクゴウシ
620,麻菜美,125,マサイビ
621,由樹,125,ユジュ
622,菜央,124,ナオ
623,佑佳,124,ユウカ
624,侑希,124,ユウキ
625,なぎさ,123,ナギサ
626,佐和子,123,サワコ
627,真緒,123,シンショ
628,雪乃,123,セツナイ
629,麻依,123,マイ
630,利恵,123,リケイ
631,紗也香,122,サヤコウ
632,悠希,122,ユウキ
633,真紀子,121,マジコ
634,有希子,121,ユウキシ
635,瑶子,121,ヨウシ
636,まゆみ,120,マユミ
637,幸代,120,コウダイ
638,実可子,120,ジツカシ
639,真梨,120,シンリ
640,朝子,120,チョウシ
641,舞香,120,ブコウ
642,今日子,119,コンニチシ
643,美穂子,119,ビスイシ
644,百恵,119,ヒャクケイ
645,智佳,118,トモカ
646,絵梨奈,117,エミナ
647,響子,117,キョウシ
648,弘子,117,コウシ
649,美華,117,ビカ
650,麻央,117,マオ
651,祐衣,117,ユウイ
652,みさき,116,ミサキ
653,みほ,116,ミホ
654,綾音,116,リンオン
655,佳那子,116,カナコ
656,加奈恵,116,カナケイ
657,麻理,116,マリ
658,未紗,116,ミサ
659,和恵,116,ワケイ
660,暁子,115,ギョウシ
661,美郷,115,ビキョウ
662,良美,115,リョウビ
663,真理恵,114,シンリケイ
664,しずか,113,シズカ
665,亜矢子,113,アシシ
666,夏未,113,カミ
667,雅,113,ガ
668,紫織,113,シショク
669,真衣子,113,シンイシ
670,奈々恵,113,ナナエ
671,有華,113,ユウカ
672,有貴,113,ユウキ
673,里枝,113,リシ
674,瑛美,112,ヒロミ
675,枝里子,112,シリシ
676,千香子,112,センコウシ
677,佑季,112,ユウキ
678,祐里,112,ユウリ
679,かほり,111,カホリ
680,まり,111,マリ
681,昌子,111,ショウシ
682,成実,111,セイジツ
683,奈津希,111,ナシンキ
684,麻美子,111,マビシ
685,優実,111,ユウジツ
686,由佳里,111,ユカリ
687,容子,111,ヨウシ
688,理菜,111,リサイ
689,侑香,111,ユウコウ
690,こずえ,110,コズエ
691,香緒里,110,コウショリ
692,麻貴,110,マキ
693,紗央里,109,サヤキ
694,智世,109,トモセイ
695,奈々美,109,ナナミ
696,美夏,109,ビカ
697,舞美,109,ブビ
698,麻奈,109,マナ
699,香純,108,カナジュン
700,彰子,108,ショウコ
701,真梨奈,108,シンリナ
702,美有,108,ビユウ
703,怜子,108,レイシ
704,かなえ,107,カナエ
705,亜友美,107,アユウビ
706,恵里子,107,ケイリシ
707,真知子,107,シンチシ
708,麻弥,107,マミ
709,かおる,106,カオル
710,佳奈美,106,カナミ
711,都,106,ト
712,咲紀,105,サキジ
